time,header_stamp_secs,header_stamp_nsecs,header_frame_id,time_ref_secs,time_ref_nsecs,source
2026/06/04 15:16:52.121786097,1780597012,121501873,obu,1780597012,100000000,gps
2026/06/04 15:16:52.235053889,1780597012,234365538,obu,1780597012,200000000,gps
2026/06/04 15:16:52.339692595,1780597012,339317050,obu,1780597012,300000000,gps
2026/06/04 15:16:52.431759708,1780597012,431448215,obu,1780597012,400000000,gps
2026/06/04 15:16:52.531844745,1780597012,531351073,obu,1780597012,500000000,gps
2026/06/04 15:16:52.624736298,1780597012,624147652,obu,1780597012,600000000,gps
2026/06/04 15:16:52.732937126,1780597012,732730378,obu,1780597012,700000000,gps
2026/06/04 15:16:52.831453344,1780597012,830994512,obu,1780597012,800000000,gps
2026/06/04 15:16:52.922853416,1780597012,922173581,obu,1780597012,900000000,gps
2026/06/04 15:16:53.31199725,1780597013,30839926,obu,1780597013,0,gps
2026/06/04 15:16:53.127213482,1780597013,126765397,obu,1780597013,100000000,gps
2026/06/04 15:16:53.222855492,1780597013,222361525,obu,1780597013,200000000,gps
2026/06/04 15:16:53.342455991,1780597013,342185429,obu,1780597013,300000000,gps
2026/06/04 15:16:53.421987040,1780597013,421707721,obu,1780597013,400000000,gps
2026/06/04 15:16:53.524809962,1780597013,524182190,obu,1780597013,500000000,gps
2026/06/04 15:16:53.630328231,1780597013,629558419,obu,1780597013,600000000,gps
2026/06/04 15:16:53.732924928,1780597013,732608703,obu,1780597013,700000000,gps
2026/06/04 15:16:53.824592137,1780597013,823910647,obu,1780597013,800000000,gps
2026/06/04 15:16:53.934430176,1780597013,933659841,obu,1780597013,900000000,gps
2026/06/04 15:16:54.31425884,1780597014,31113423,obu,1780597014,0,gps
2026/06/04 15:16:54.125207867,1780597014,124434327,obu,1780597014,100000000,gps
2026/06/04 15:16:54.235001583,1780597014,234468132,obu,1780597014,200000000,gps
2026/06/04 15:16:54.332333109,1780597014,332170544,obu,1780597014,300000000,gps
2026/06/04 15:16:54.425080172,1780597014,424571938,obu,1780597014,400000000,gps
2026/06/04 15:16:54.532523150,1780597014,531982653,obu,1780597014,500000000,gps
2026/06/04 15:16:54.636807092,1780597014,636493100,obu,1780597014,600000000,gps
2026/06/04 15:16:54.722475496,1780597014,722001570,obu,1780597014,700000000,gps
2026/06/04 15:16:54.833382101,1780597014,832844186,obu,1780597014,800000000,gps
2026/06/04 15:16:54.923575890,1780597014,923398578,obu,1780597014,900000000,gps
2026/06/04 15:16:55.23009222,1780597015,22747971,obu,1780597015,0,gps
2026/06/04 15:16:55.123880030,1780597015,123380247,obu,1780597015,100000000,gps
2026/06/04 15:16:55.234312739,1780597015,233892687,obu,1780597015,200000000,gps
2026/06/04 15:16:55.329941412,1780597015,329786014,obu,1780597015,300000000,gps
2026/06/04 15:16:55.432588609,1780597015,432002801,obu,1780597015,400000000,gps
2026/06/04 15:16:55.530986080,1780597015,530332067,obu,1780597015,500000000,gps
2026/06/04 15:16:55.622088839,1780597015,621933637,obu,1780597015,600000000,gps
2026/06/04 15:16:55.733493083,1780597015,733038789,obu,1780597015,700000000,gps
2026/06/04 15:16:55.824250216,1780597015,823193369,obu,1780597015,800000000,gps
2026/06/04 15:16:55.922462846,1780597015,922213291,obu,1780597015,900000000,gps
2026/06/04 15:16:56.24248446,1780597016,23537104,obu,1780597016,0,gps
2026/06/04 15:16:56.125457834,1780597016,124633428,obu,1780597016,100000000,gps
2026/06/04 15:16:56.232894102,1780597016,232734708,obu,1780597016,200000000,gps
2026/06/04 15:16:56.339597958,1780597016,339219513,obu,1780597016,300000000,gps
2026/06/04 15:16:56.442915010,1780597016,442418725,obu,1780597016,400000000,gps
2026/06/04 15:16:56.522761938,1780597016,522487873,obu,1780597016,500000000,gps
2026/06/04 15:16:56.631849184,1780597016,631548544,obu,1780597016,600000000,gps
2026/06/04 15:16:56.734648882,1780597016,734122977,obu,1780597016,700000000,gps
2026/06/04 15:16:56.822005963,1780597016,821661651,obu,1780597016,800000000,gps
2026/06/04 15:16:56.922039437,1780597016,921706669,obu,1780597016,900000000,gps
2026/06/04 15:16:57.28263596,1780597017,27730700,obu,1780597017,0,gps
2026/06/04 15:16:57.123660353,1780597017,123174442,obu,1780597017,100000000,gps
2026/06/04 15:16:57.234471243,1780597017,234162993,obu,1780597017,200000000,gps
2026/06/04 15:16:57.343459665,1780597017,343156294,obu,1780597017,300000000,gps
2026/06/04 15:16:57.425215519,1780597017,424487821,obu,1780597017,400000000,gps
2026/06/04 15:16:57.524349046,1780597017,524117259,obu,1780597017,500000000,gps
2026/06/04 15:16:57.630401553,1780597017,629861368,obu,1780597017,600000000,gps
2026/06/04 15:16:57.736211914,1780597017,735561648,obu,1780597017,700000000,gps
2026/06/04 15:16:57.823877912,1780597017,823588267,obu,1780597017,800000000,gps
